"taxon.name","X","variable.units","variable.element","variable.context","taxon.group","site.id","site.name","long","lat","iteration","age.older","age.younger","order","family","genus","NA"
"Alilepus browni",42874,"present/absent","bone",NA,"Mammals",14350,"Anita [UALP 7202]",-112.248055555556,35.8619444444444,3572,NA,NA,"Lagomorpha","Leporidae","Alilepus","Alilepus browni"
"Alilepus sp.",43475,"present/absent","bone",NA,"Mammals",14443,"Taunton [UWBM Locality A9326]",-119.344444444444,46.8030555555556,3663,NA,NA,"Lagomorpha","Leporidae","Alilepus","Alilepus sp."
"Alilepus vagus",43476,"present/absent","bone",NA,"Mammals",14443,"Taunton [UWBM Locality A9326]",-119.344444444444,46.8030555555556,3663,NA,NA,"Lagomorpha","Leporidae","Alilepus","Alilepus vagus"
"Alilepus wilsoni",43484,"present/absent","bone",NA,"Mammals",14443,"Taunton [UWBM Locality A9326]",-119.344444444444,46.8030555555556,3663,NA,NA,"Lagomorpha","Leporidae","Alilepus","Alilepus wilsoni"
"Aluralagus virginiae",43371,"present/absent","bone",NA,"Mammals",14433,"San Simon Power Line",-109.483611111111,32.5783333333333,3653,NA,NA,"Lagomorpha","Leporidae","Aluralagus","Aluralagus virginiae"
"Antecalomys vasquezi",43548,"present/absent","bone",NA,"Mammals",14449,"Upper Alturas [UO Loc 2424; CAS Loc 36805]",-120.541388888889,41.4872222222222,3669,NA,NA,"Rodentia","Cricetidae","Antecalomys","Antecalomys vasquezi"
"Antilocapra sp.",24954,"NISP","bone/tooth",NA,"Mammals",5031,"Garnsey Spring Campsite [LA 18400]",-104.25,33.25,1754,1050,550,"Cetartiodactyla","Antilocapridae","Antilocapra","Antilocapra sp."
"Antilocapra sp.",8986,"present/absent","bone/tooth",NA,"Mammals",3918,"McKensey Village [39AR201]",-100.5,44.75,441,1000,500,"Cetartiodactyla","Antilocapridae","Antilocapra","Antilocapra sp."
"Antilocapra sp.",8377,"NISP","bone/tooth",NA,"Mammals",3883,"Elliott [14GE303]",-96.6166666666667,39.0333333333333,396,1935,1935,"Cetartiodactyla","Antilocapridae","Antilocapra","Antilocapra sp."
"Arctisorex polaris",40064,"present/absent","bone/tooth",NA,"Mammals",10042,"Strathcona Fjord Beaver Pond",-82.3666666666667,78.55,3312,NA,NA,"Insectivora","Soricidae","Arctisorex","Arctisorex polaris"
"Arctisorex polaris",40063,"NISP","mandibular ramus, teeth; left; posterior",NA,"Mammals",10042,"Strathcona Fjord Beaver Pond",-82.3666666666667,78.55,3312,NA,NA,"Insectivora","Soricidae","Arctisorex","Arctisorex polaris"
"Arctodus A. pristinus",43396,"present/absent","bone",NA,"Mammals",14435,"Santa Fe River 1 (includes 1A & 1B)",-82.7833333333333,29.8333333333333,3655,NA,NA,"Carnivora","Ursidae","Arctodus","Arctodus A. pristinus"
